section_id,topic_id,question_id,question,producer_kind,aspect_id,kind,requirement_text,execution_path,required_fields,coverage_rules,complete_set_rule,evidence_requirement_ids,evidence_kinds,source_policy_ref,time_scope,display_tier,content_role,missing_policy,blocking_policy,applicability_policy,impact_scope,output_destination,derived_from,derived_from_scope,business_review_status,business_review_reason,transmission_layers,transmission_channel,v1_question,v1_required_aspects,change_type,business_reason,v1_mapped_aspects,independent_meaning,researchability_reason,coverage_reason,search_audit_reason,evidence_authority_reason,writing_spec_ownership,writing_spec_reason
company,company_identity,company_subject_match,核对输入企业名称、材料内主体、股票代码与公开企业信息是否一致,topic_harness,company_subject_match.name_consistency,fact_set,输入企业名称与材料主体一致,topic_harness,企业名称,required_fields_complete | minimum_sources | direct_support,,er_comp_subject,field,source_policy_v1,CURRENT_AS_OF_WITH_24M_CHANGES,required_body,paragraph,transfer_human,JOB_BLOCKED,,subject,body,,,CONFIRMED,"CONFIRMED：由 v1 维度「输入企业名称与材料主体一致性」固化，以 fact_set 形态独立研究，覆盖 ['required_fields_complete', 'minimum_sources', 'direct_support']，证据 ['er_comp_subject']（['company_industry', 'external', 'structured_db']），主槽位 co-h1；可独立核验，无需额外业务裁决",,,核对输入企业名称、材料内主体、股票代码与公开企业信息是否一致,输入企业名称与材料主体一致性 | 股票代码 | 经营状态,unchanged,v1 required_aspects 固化为稳定 aspect_id，无语义变更（不拆分）。,输入企业名称与材料主体一致性,输入企业名称与材料主体一致,以 fact_set 形态独立研究，required_fields=['企业名称']，可独立核验/成缺口,"覆盖规则 ['required_fields_complete', 'minimum_sources', 'direct_support']（producer_kind=topic_harness，集合锚点 无）",不保留 search_audit：普通正向事实或财务/派生/synth，不机械要求检索审计,"证据 ['er_comp_subject']：evidence_kind=['field']，source_classes=['company_industry', 'external', 'structured_db']，minimum_sources=[1]",primary:co-h1,主槽位落在 co-h1（公司 H2 正文），与 producer_kind=topic_harness 目标 Writer 章节一致
company,company_identity,company_subject_match,核对输入企业名称、材料内主体、股票代码与公开企业信息是否一致,topic_harness,company_subject_match.stock_code,fact_set,股票代码,topic_harness,股票代码,required_fields_complete | minimum_sources | direct_support,,er_comp_subject,field,source_policy_v1,CURRENT_AS_OF_WITH_24M_CHANGES,required_body,paragraph,transfer_human,JOB_BLOCKED,,subject,body,,,CONFIRMED,"CONFIRMED：由 v1 维度「股票代码」固化，以 fact_set 形态独立研究，覆盖 ['required_fields_complete', 'minimum_sources', 'direct_support']，证据 ['er_comp_subject']（['company_industry', 'external', 'structured_db']），主槽位 co-h1；可独立核验，无需额外业务裁决",,,核对输入企业名称、材料内主体、股票代码与公开企业信息是否一致,输入企业名称与材料主体一致性 | 股票代码 | 经营状态,unchanged,v1 required_aspects 固化为稳定 aspect_id，无语义变更（不拆分）。,股票代码,股票代码,以 fact_set 形态独立研究，required_fields=['股票代码']，可独立核验/成缺口,"覆盖规则 ['required_fields_complete', 'minimum_sources', 'direct_support']（producer_kind=topic_harness，集合锚点 无）",不保留 search_audit：普通正向事实或财务/派生/synth，不机械要求检索审计,"证据 ['er_comp_subject']：evidence_kind=['field']，source_classes=['company_industry', 'external', 'structured_db']，minimum_sources=[1]",primary:co-h1,主槽位落在 co-h1（公司 H2 正文），与 producer_kind=topic_harness 目标 Writer 章节一致
company,company_identity,company_subject_match,核对输入企业名称、材料内主体、股票代码与公开企业信息是否一致,topic_harness,company_subject_match.operating_status,fact_set,经营状态（存续/注销/吊销等）,topic_harness,经营状态,required_fields_complete | minimum_sources | direct_support,,er_comp_subject,field,source_policy_v1,CURRENT_AS_OF_WITH_24M_CHANGES,required_body,paragraph,transfer_human,JOB_BLOCKED,,subject,body,,,CONFIRMED,"CONFIRMED：由 v1 维度「经营状态」固化，以 fact_set 形态独立研究，覆盖 ['required_fields_complete', 'minimum_sources', 'direct_support']，证据 ['er_comp_subject']（['company_industry', 'external', 'structured_db']），主槽位 co-h1；可独立核验，无需额外业务裁决",,,核对输入企业名称、材料内主体、股票代码与公开企业信息是否一致,输入企业名称与材料主体一致性 | 股票代码 | 经营状态,unchanged,v1 required_aspects 固化为稳定 aspect_id，无语义变更（不拆分）。,经营状态,经营状态（存续/注销/吊销等）,以 fact_set 形态独立研究，required_fields=['经营状态']，可独立核验/成缺口,"覆盖规则 ['required_fields_complete', 'minimum_sources', 'direct_support']（producer_kind=topic_harness，集合锚点 无）",不保留 search_audit：普通正向事实或财务/派生/synth，不机械要求检索审计,"证据 ['er_comp_subject']：evidence_kind=['field']，source_classes=['company_industry', 'external', 'structured_db']，minimum_sources=[1]",primary:co-h1,主槽位落在 co-h1（公司 H2 正文），与 producer_kind=topic_harness 目标 Writer 章节一致
company,company_identity,company_identity_basic,成立日期、办公地址、法定代表人、注册资本、实缴资本和经营范围,topic_harness,company_identity_basic.founded_date,fact_set,成立日期,topic_harness,成立日期,required_fields_complete | minimum_sources | direct_support,,er_comp_basic,field,source_policy_v1,SINCE_INCEPTION_MILESTONES,required_body,paragraph,write_not_found,NONE,,,body,,,CONFIRMED,"CONFIRMED：由 v1 维度「成立日期」固化，以 fact_set 形态独立研究，覆盖 ['required_fields_complete', 'minimum_sources', 'direct_support']，证据 ['er_comp_basic']（['company_industry']），主槽位 co-h1；可独立核验，无需额外业务裁决",,,成立日期、办公地址、法定代表人、注册资本、实缴资本和经营范围,成立日期 | 办公地址 | 法定代表人 | 注册资本 | 实缴资本 | 经营范围,unchanged,v1 required_aspects 固化为稳定 aspect_id，无语义变更（不拆分）。,成立日期,成立日期,以 fact_set 形态独立研究，required_fields=['成立日期']，可独立核验/成缺口,"覆盖规则 ['required_fields_complete', 'minimum_sources', 'direct_support']（producer_kind=topic_harness，集合锚点 无）",不保留 search_audit：普通正向事实或财务/派生/synth，不机械要求检索审计,证据 ['er_comp_basic']：evidence_kind=['field']，source_classes=['company_industry']，minimum_sources=[1],primary:co-h1,主槽位落在 co-h1（公司 H2 正文），与 producer_kind=topic_harness 目标 Writer 章节一致
company,company_identity,company_identity_basic,成立日期、办公地址、法定代表人、注册资本、实缴资本和经营范围,topic_harness,company_identity_basic.registered_address,fact_set,办公地址,topic_harness,办公地址,required_fields_complete | minimum_sources | direct_support,,er_comp_basic,field,source_policy_v1,CURRENT_AS_OF_WITH_24M_CHANGES,required_body,paragraph,write_not_found,NONE,,,body,,,CONFIRMED,"CONFIRMED：由 v1 维度「办公地址」固化，以 fact_set 形态独立研究，覆盖 ['required_fields_complete', 'minimum_sources', 'direct_support']，证据 ['er_comp_basic']（['company_industry']），主槽位 co-h1；可独立核验，无需额外业务裁决",,,成立日期、办公地址、法定代表人、注册资本、实缴资本和经营范围,成立日期 | 办公地址 | 法定代表人 | 注册资本 | 实缴资本 | 经营范围,unchanged,v1 required_aspects 固化为稳定 aspect_id，无语义变更（不拆分）。,办公地址,办公地址,以 fact_set 形态独立研究，required_fields=['办公地址']，可独立核验/成缺口,"覆盖规则 ['required_fields_complete', 'minimum_sources', 'direct_support']（producer_kind=topic_harness，集合锚点 无）",不保留 search_audit：普通正向事实或财务/派生/synth，不机械要求检索审计,证据 ['er_comp_basic']：evidence_kind=['field']，source_classes=['company_industry']，minimum_sources=[1],primary:co-h1,主槽位落在 co-h1（公司 H2 正文），与 producer_kind=topic_harness 目标 Writer 章节一致
company,company_identity,company_identity_basic,成立日期、办公地址、法定代表人、注册资本、实缴资本和经营范围,topic_harness,company_identity_basic.legal_rep,fact_set,法定代表人,topic_harness,法定代表人,required_fields_complete | minimum_sources | direct_support,,er_comp_basic,field,source_policy_v1,CURRENT_AS_OF_WITH_24M_CHANGES,required_body,paragraph,write_not_found,NONE,,,body,,,CONFIRMED,"CONFIRMED：由 v1 维度「法定代表人」固化，以 fact_set 形态独立研究，覆盖 ['required_fields_complete', 'minimum_sources', 'direct_support']，证据 ['er_comp_basic']（['company_industry']），主槽位 co-h1；可独立核验，无需额外业务裁决",,,成立日期、办公地址、法定代表人、注册资本、实缴资本和经营范围,成立日期 | 办公地址 | 法定代表人 | 注册资本 | 实缴资本 | 经营范围,unchanged,v1 required_aspects 固化为稳定 aspect_id，无语义变更（不拆分）。,法定代表人,法定代表人,以 fact_set 形态独立研究，required_fields=['法定代表人']，可独立核验/成缺口,"覆盖规则 ['required_fields_complete', 'minimum_sources', 'direct_support']（producer_kind=topic_harness，集合锚点 无）",不保留 search_audit：普通正向事实或财务/派生/synth，不机械要求检索审计,证据 ['er_comp_basic']：evidence_kind=['field']，source_classes=['company_industry']，minimum_sources=[1],primary:co-h1,主槽位落在 co-h1（公司 H2 正文），与 producer_kind=topic_harness 目标 Writer 章节一致
company,company_identity,company_identity_basic,成立日期、办公地址、法定代表人、注册资本、实缴资本和经营范围,topic_harness,company_identity_basic.registered_capital,fact_set,注册资本,topic_harness,注册资本,required_fields_complete | minimum_sources | direct_support,,er_comp_basic,field,source_policy_v1,CURRENT_AS_OF_WITH_24M_CHANGES,required_body,paragraph,write_not_found,NONE,,,body,,,CONFIRMED,"CONFIRMED：由 v1 维度「注册资本」固化，以 fact_set 形态独立研究，覆盖 ['required_fields_complete', 'minimum_sources', 'direct_support']，证据 ['er_comp_basic']（['company_industry']），主槽位 co-h1；可独立核验，无需额外业务裁决",,,成立日期、办公地址、法定代表人、注册资本、实缴资本和经营范围,成立日期 | 办公地址 | 法定代表人 | 注册资本 | 实缴资本 | 经营范围,unchanged,v1 required_aspects 固化为稳定 aspect_id，无语义变更（不拆分）。,注册资本,注册资本,以 fact_set 形态独立研究，required_fields=['注册资本']，可独立核验/成缺口,"覆盖规则 ['required_fields_complete', 'minimum_sources', 'direct_support']（producer_kind=topic_harness，集合锚点 无）",不保留 search_audit：普通正向事实或财务/派生/synth，不机械要求检索审计,证据 ['er_comp_basic']：evidence_kind=['field']，source_classes=['company_industry']，minimum_sources=[1],primary:co-h1,主槽位落在 co-h1（公司 H2 正文），与 producer_kind=topic_harness 目标 Writer 章节一致
company,company_identity,company_identity_basic,成立日期、办公地址、法定代表人、注册资本、实缴资本和经营范围,topic_harness,company_identity_basic.paid_in_capital,fact_set,实缴资本,topic_harness,实缴资本,required_fields_complete | minimum_sources | direct_support,,er_comp_basic,field,source_policy_v1,CURRENT_AS_OF_WITH_24M_CHANGES,required_body,paragraph,write_not_found,NONE,,,body,,,CONFIRMED,"CONFIRMED：由 v1 维度「实缴资本」固化，以 fact_set 形态独立研究，覆盖 ['required_fields_complete', 'minimum_sources', 'direct_support']，证据 ['er_comp_basic']（['company_industry']），主槽位 co-h1；可独立核验，无需额外业务裁决",,,成立日期、办公地址、法定代表人、注册资本、实缴资本和经营范围,成立日期 | 办公地址 | 法定代表人 | 注册资本 | 实缴资本 | 经营范围,unchanged,v1 required_aspects 固化为稳定 aspect_id，无语义变更（不拆分）。,实缴资本,实缴资本,以 fact_set 形态独立研究，required_fields=['实缴资本']，可独立核验/成缺口,"覆盖规则 ['required_fields_complete', 'minimum_sources', 'direct_support']（producer_kind=topic_harness，集合锚点 无）",不保留 search_audit：普通正向事实或财务/派生/synth，不机械要求检索审计,证据 ['er_comp_basic']：evidence_kind=['field']，source_classes=['company_industry']，minimum_sources=[1],primary:co-h1,主槽位落在 co-h1（公司 H2 正文），与 producer_kind=topic_harness 目标 Writer 章节一致
company,company_identity,company_identity_basic,成立日期、办公地址、法定代表人、注册资本、实缴资本和经营范围,topic_harness,company_identity_basic.business_scope,fact_set,经营范围,topic_harness,经营范围,required_fields_complete | minimum_sources | direct_support,,er_comp_basic,field,source_policy_v1,CURRENT_AS_OF_WITH_24M_CHANGES,required_body,paragraph,write_not_found,NONE,,,body,,,CONFIRMED,"CONFIRMED：由 v1 维度「经营范围」固化，以 fact_set 形态独立研究，覆盖 ['required_fields_complete', 'minimum_sources', 'direct_support']，证据 ['er_comp_basic']（['company_industry']），主槽位 co-h1；可独立核验，无需额外业务裁决",,,成立日期、办公地址、法定代表人、注册资本、实缴资本和经营范围,成立日期 | 办公地址 | 法定代表人 | 注册资本 | 实缴资本 | 经营范围,unchanged,v1 required_aspects 固化为稳定 aspect_id，无语义变更（不拆分）。,经营范围,经营范围,以 fact_set 形态独立研究，required_fields=['经营范围']，可独立核验/成缺口,"覆盖规则 ['required_fields_complete', 'minimum_sources', 'direct_support']（producer_kind=topic_harness，集合锚点 无）",不保留 search_audit：普通正向事实或财务/派生/synth，不机械要求检索审计,证据 ['er_comp_basic']：evidence_kind=['field']，source_classes=['company_industry']，minimum_sources=[1],primary:co-h1,主槽位落在 co-h1（公司 H2 正文），与 producer_kind=topic_harness 目标 Writer 章节一致
company,company_identity,company_identity_history,历史沿革：重大改革、股权变更、法定代表人变更、上市及重大募资事项,topic_harness,company_identity_history.reforms_equity_changes,fact_set,重大改革与股权变更,topic_harness,改革或股权变更事件 | 日期,required_fields_complete | minimum_sources | direct_support,以权威披露的重大节点为集合锚点，不写流水账,er_comp_history,paragraph,source_policy_v1,SINCE_INCEPTION_MILESTONES,required_body,paragraph,write_not_found,NONE,,,body,,,CONFIRMED,"CONFIRMED：由 v1 维度「重大改革与股权变更」固化，以 fact_set 形态独立研究，覆盖 ['required_fields_complete', 'minimum_sources', 'direct_support']，证据 ['er_comp_history']（['company_industry']），主槽位 co-h1；可独立核验，无需额外业务裁决",,,历史沿革：重大改革、股权变更、法定代表人变更、上市及重大募资事项,重大改革与股权变更 | 法定代表人变更 | 上市及重大募资事项,unchanged,v1 required_aspects 固化为稳定 aspect_id，无语义变更（不拆分）。,重大改革与股权变更,重大改革与股权变更,"以 fact_set 形态独立研究，required_fields=['改革或股权变更事件', '日期']，可独立核验/成缺口","覆盖规则 ['required_fields_complete', 'minimum_sources', 'direct_support']（producer_kind=topic_harness，集合锚点 以权威披露的重大节点为集合锚点，不写流水账）",不保留 search_audit：普通正向事实或财务/派生/synth，不机械要求检索审计,证据 ['er_comp_history']：evidence_kind=['paragraph']，source_classes=['company_industry']，minimum_sources=[1],primary:co-h1,主槽位落在 co-h1（公司 H2 正文），与 producer_kind=topic_harness 目标 Writer 章节一致
